seed,horizon,budget,exploration_param,gamma,steps
4839643,20,1000000,16,1.0,394
4839643,16,10000,16,0.9,190
4839643,20,19953,16,0.95,500
4839643,32,10000,32,0.9,21
4839643,26,794328,16,0.9,500
4839643,16,79433,16,0.9,86
4839643,26,25119,16,1.0,500
4839643,10,12589,16,1.0,45
4839643,24,1000000,16,0.95,500
4839643,28,1585,32,1.0,42
4839643,40,501187,32,0.9,240
4839643,16,794328,32,0.95,404
4839643,28,1585,16,0.9,17
4839643,16,1000,32,0.9,22
4839643,16,6310,16,1.0,194
4839643,24,31623,16,1.0,306
4839643,36,398107,16,1.0,500
4839643,16,100000,32,0.9,37
4839643,32,251189,32,0.9,97
4839643,14,1259,16,1.0,28
4839643,36,1585,32,0.95,27
4839643,24,39811,32,0.9,24
4839643,40,5012,16,1.0,276
4839643,40,199526,32,0.9,50
4839643,18,12589,16,1.0,260
4839643,28,3981,16,0.9,30
4839643,16,1000,16,0.9,29
4839643,40,6310,16,1.0,177
4839643,22,50119,16,1.0,500
4839643,34,63096,32,0.9,37
4839643,24,6310,32,0.95,110
4839643,38,1000000,16,1.0,500
4839643,10,630957,32,0.95,54
4839643,20,1995,16,0.95,53
4839643,26,630957,16,0.95,500
4839643,22,31623,16,1.0,477
4839643,22,15849,16,1.0,315
4839643,10,2512,16,1.0,38
4839643,32,25119,16,1.0,303
4839643,14,25119,32,0.95,91
4839643,26,15849,32,1.0,51
4839643,16,79433,32,1.0,500
4839643,26,10000,32,0.9,41
4839643,36,630957,32,0.9,282
4839643,16,1000000,32,0.9,428
4839643,12,2512,16,0.9,38
4839643,32,5012,32,1.0,153
4839643,26,199526,32,0.9,90
4839643,36,15849,16,1.0,500
4839643,34,19953,16,1.0,500
4839643,36,630957,16,0.95,500
4839643,32,63096,16,1.0,240
4839643,38,1000,32,1.0,24
4839643,24,1259,32,1.0,11
4839643,10,10000,16,0.95,38
4839643,12,31623,32,1.0,63
4839643,36,7943,32,0.95,33
4839643,40,25119,16,0.95,202
4839643,16,7943,32,0.9,39
4839643,30,158489,32,1.0,500
4839643,24,5012,16,0.95,46
4839643,32,6310,16,1.0,207
4839643,16,3981,16,0.9,25
4839643,36,25119,32,0.9,62
